#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
1,USA,"84,133,117","+65,455","1,026,299 ",+187,"81,189,314","+25,625","1,917,504","1,924","251,439","3,067","1,015,694,218","3,035,484"
2,India,"43,117,836","+1,236","524,190 ",,"42,573,460",,"20,186",698,"30,685",373,"842,458,167","599,529"
3,Brazil,"30,664,739","+25,609","664,780 ",+80,"29,703,904",,"296,055","8,318","142,385","3,087","63,776,166","296,130"
4,France,"29,130,343","+32,773","147,257 ",+98,"28,097,818","+80,487","885,268","1,329","444,455","2,247","271,490,188","4,142,250"
5,Germany,"25,733,580","+67,670","137,809 ",+181,"23,875,700","+71,100","1,720,071","1,279","305,329","1,635","122,332,384","1,451,475"
6,UK,"22,159,805",+190,"176,708 ",,"21,657,770","+19,614","325,327",253,"323,273","2,578","519,264,096","7,575,165"
7,Russia,"18,250,290","+4,896","377,464 ",+105,"17,633,601","+7,257","239,225","2,300","124,959","2,584","273,400,000","1,871,953"
8,S. Korea,"17,727,086","+32,409","23,606 ",+52,N/A,N/A,N/A,347,"345,213",460,"15,804,065","307,765"
9,Italy,"16,993,813","+38,507","165,091 ",+115,"15,820,859","+49,734","1,007,863",341,"281,836","2,738","217,395,343","3,605,424"
10,Turkey,"15,051,761","+1,534","98,885 ",+7,"14,949,593","+1,673","3,283",975,"174,971","1,150","160,495,172","1,865,696"
11,Spain,"12,127,122","+22,744","105,444 ",+107,"11,548,089","+8,575","473,589",339,"259,191","2,254","471,036,328","10,067,373"
12,Vietnam,"10,690,471",,"43,063 ",,"9,334,964",,"1,312,444",346,"108,023",435,"85,808,648","867,061"
13,Argentina,"9,101,319",,"128,729 ",,"8,895,999",,"76,591",372,"198,001","2,801","35,716,069","777,012"
14,Japan,"8,260,356","+42,378","29,974 ",+39,"7,890,937","+26,178","339,445",159,"65,685",238,"50,175,204","398,983"
15,Netherlands,"8,067,116","+1,273","22,292 ",,"7,984,457","+4,939","60,367",55,"468,875","1,296","21,107,399","1,226,798"
16,Iran,"7,227,428",+385,"141,209 ",+8,"7,016,677","+1,894","69,542",763,"84,050","1,642","51,622,353","600,335"
17,Australia,"6,501,329","+51,773","7,721 ",+51,"6,081,083",,"412,525",123,"249,578",296,"70,430,417","2,703,737"
18,Colombia,"6,095,316",,"139,821 ",,"5,928,829",,"26,666",342,"117,466","2,695","34,675,581","668,252"
19,Indonesia,"6,050,211",+335,"156,448 ",+10,"5,888,825",+254,"4,938","2,771","21,694",561,"97,115,043","348,214"
20,Poland,"6,002,863",+469,"116,186 ",+11,"5,335,086",+40,"551,591",981,"158,934","3,076","36,208,054","958,655"
21,Mexico,"5,745,652",,"324,465 ",,"5,044,893",,"376,294","4,798","43,710","2,468","15,855,490","120,622"
22,Ukraine,"5,006,460",,"108,449 ",,N/A,N/A,N/A,177,"115,767","2,508","19,521,252","451,400"
23,Malaysia,"4,473,500","+3,029","35,607 ",+5,"4,409,159","+1,116","28,734",42,"135,004","1,075","59,212,377","1,786,949"
24,Thailand,"4,361,016","+7,779","29,370 ",+56,"4,255,785","+9,286","75,861","1,496","62,189",419,"17,270,775","246,285"
25,Austria,"4,205,380","+4,555","18,296 ",+5,"4,124,821","+5,731","62,263",65,"462,037","2,010","184,874,698","20,311,825"
26,Belgium,"4,116,397",,"31,613 ",,"3,935,161","+22,910","149,623",117,"352,332","2,706","33,846,023","2,896,961"
27,Israel,"4,104,286","+2,254","10,749 ",,"4,077,746","+4,260","15,791",150,"440,091","1,153","41,373,364","4,436,346"
28,Portugal,"3,935,932",,"22,420 ",,N/A,N/A,N/A,61,"388,101","2,211","41,810,659","4,122,726"
29,Czechia,"3,915,231",+521,"40,240 ",,"3,869,237","+2,035","5,754",15,"364,347","3,745","55,312,880","5,147,360"
30,South Africa,"3,879,434","+8,349","100,744 ",+114,"3,702,416","+5,685","76,274",192,"63,915","1,660","24,841,314","409,266"
31,Canada,"3,819,359","+2,869","40,209 ",+48,"3,497,485","+2,249","281,665",423,"99,575","1,048","61,391,416","1,600,541"
32,Philippines,"3,687,748",+181,"60,455 ",+3,"3,624,171",+233,"3,122",289,"32,841",538,"29,806,193","265,441"
33,Switzerland,"3,631,881",,"13,882 ",,"3,540,271","+7,221","77,728",78,"414,024","1,583","20,927,607","2,385,686"
34,Chile,"3,595,968","+4,871","57,697 ",+17,"3,461,120","+2,909","77,151",171,"185,160","2,971","37,581,991","1,935,130"
35,Peru,"3,571,161",,"213,000 ",,N/A,N/A,N/A,251,"105,578","6,297","30,166,746","891,856"
36,Greece,"3,384,982","+4,388","29,521 ",+30,"3,299,132","+4,681","56,329",178,"327,731","2,858","81,097,651","7,851,808"
37,Denmark,"2,975,820",+712,"6,278 ",+7,"2,958,933",+856,"10,609",12,"510,425","1,077","127,333,329","21,840,755"
38,Romania,"2,902,270",+588,"65,599 ",+4,N/A,N/A,N/A,150,"152,755","3,453","22,929,039","1,206,827"
